,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
177,1408035,0.67,True,De Aker - Nieuw Sloten,52.34,4.805,Shared room,1,1,3,4,50.0,3,3,True,0,0,4,True,50.0,150.0,0.05,0.12,0.16,2.99,0.0,250.0
178,1427610,0.67,True,Geuzenveld - Slotermeer,52.38,4.805,Entire home/apt,4,2,2,7,100.0,5,1125,True,0,0,5,True,25.0,500.0,0.05,0.14,0.15,4.99,0.01643835616438356,622.4794520547945
179,1447217,1.0,True,Bos en Lommer,52.38,4.848,Private room,2,1,1,2,51.0,4,100,True,0,4,4,True,25.5,204.0,0.06,0.07,0.14,2.99,0.336986301369863,317.1095890410959
180,1468473,1.0,True,Bos en Lommer,52.38,4.85,Entire home/apt,2,1,1,8,120.0,3,90,True,1,0,4,True,60.0,360.0,0.06,0.15,0.12,4.99,0.43561643835616437,575.7534246575342
181,1511360,0.6,True,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,9,155.0,2,14,True,0,1,4,True,77.5,310.0,0.08,0.12,0.2,4.99,0.29863013698630136,775.6164383561644
182,1514368,0.74,True,Centrum-Oost,52.38,4.895,Private room,4,1,2,14,282.0,3,30,True,1,2,4,True,70.5,846.0,0.13,0.07,0.29,4.99,0.21095890410958903,1175.150684931507
183,1517398,0.59,True,Westerpark,52.38,4.88,Entire home/apt,4,2,1,9,122.0,3,30,True,0,2,4,True,30.5,366.0,0.07,0.13,0.15,4.99,0.34794520547945207,550.3835616438356
184,1523635,0.53,True,Centrum-West,52.38,4.887,Private room,2,1,1,8,119.0,3,150,True,4,6,4,True,59.5,357.0,0.06,0.13,0.18,4.99,0.7342465753424657,632.082191780822
185,1533103,0.67,True,Westerpark,52.38,4.87,Entire home/apt,2,1,1,11,250.0,10,20,True,10,0,5,True,125.0,2500.0,0.03,0.2,0.23,4.99,0.18082191780821918,1234.6575342465753
186,1534317,1.0,True,Geuzenveld - Slotermeer,52.38,4.836,Private room,2,1,1,1,82.0,4,30,True,6,4,4,True,41.0,328.0,0.05,0.1,0.16,4.99,0.915068493150685,357.05479452054794
187,1566348,0.27,True,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,2,1,1,5,103.0,3,30,True,0,0,4,True,51.5,309.0,0.07,0.17,0.18,4.99,0.0,515.0
188,1568669,0.23,True,Watergraafsmeer,52.34,4.92,Entire home/apt,4,2,4,1,105.0,4,14,True,0,0,4,True,26.25,420.0,0.05,0.13,0.17,4.99,0.4547945205479452,557.917808219178
189,1570315,0.78,True,Centrum-West,52.38,4.887,Private room,2,1,2,3,126.0,3,183,True,2,5,4,True,63.0,378.0,0.06,0.17,0.19,4.99,0.5863013698630137,669.3972602739726
190,1580186,0.77,True,Centrum-West,52.38,4.887,Entire home/apt,3,2,2,4,300.0,2,31,True,0,0,4,True,100.0,600.0,0.11,0.18,0.22,4.99,0.0,1500.0
191,1586071,1.0,True,Bos en Lommer,52.38,4.855,Private room,2,1,1,9,45.0,4,30,True,0,0,4,True,22.5,180.0,0.1,0.09,0.14,0.99,0.0,358.6986301369863
192,1601408,0.82,True,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,17,436.0,4,1000,True,6,2,4,True,109.0,1744.0,0.12,0.1,0.26,10.99,0.6438356164383562,2069.986301369863
193,1603630,1.0,True,Centrum-West,52.38,4.887,Entire home/apt,2,1,2,15,300.0,4,1125,True,0,0,4,True,150.0,1200.0,0.14,0.22,0.25,4.99,0.6328767123287671,1517.123287671233
194,1605387,0.67,True,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,2,1,1,7,50.0,5,15,True,0,0,4,True,25.0,250.0,0.06,0.13,0.17,2.99,0.0,368.0
